A000319,B000052,B000110,B000293,B000360,B000634,B000753,B000769,B000896,C000025,C000277,C000651,C000963,C000988,C001008,D000347,D000495,F000011,F000084,F000200,F000333,F000370,G000023,G000104,G000141,G000255,G000323,G000491,G000522,H000031,H000192,H000193,H000477,H000645,H000727,H000929,H001006,J000051,J000128,J000140,J000210,J000257,K000065,K000098,K000129,K000216,K000233,K000296,L000004,L000059,L000241,L000284,L000393,M000181,M000200,M000397,M000499,M000547,M000583,M001028,M001069,M001129,N000040,N000059,N000069,N000139,N000169,O000140,O000153,P000014,P000217,P000290,P000372,P000403,P000417,P000420,R000059,R000118,R000347,S000073,S000279,S000337,S000348,S000363,S000415,S000530,S000551,S000577,S000589,S000629,S000644,S000730,S000872,S000968,S001081,S001094,T000160,T000226,T000274,T000330,T000353,U000013,V000070,W000012,W000104,W000164,W000203,W000246,W000471,W000521,W000669,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
Not Voting,,Nay,Yea,,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Not Voting,Not Voting,Yea,,Nay,Nay,Yea,,Nay,Yea,,,Not Voting,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,,,Nay,Nay,,Nay,Nay,Yea,Not Voting,Yea,,,Yea,Nay,Nay,,Yea,,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,1917-09-07,0,,unknown,hr4280,,,,unknown
Not Voting,,Nay,Nay,,Nay,,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,,Nay,Not Voting,Not Voting,Yea,,Nay,Nay,Yea,,Nay,Nay,,,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Yea,,,Nay,Nay,,Nay,Nay,Nay,Not Voting,Nay,,,Nay,Nay,Nay,,Nay,,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,Nay,1917-09-07,0,,unknown,hr4280,,,,unknown
Not Voting,,Yea,Yea,,Yea,,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,,Yea,Nay,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,,Not Voting,Yea,,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,,,Yea,Nay,,Yea,Not Voting,Yea,Not Voting,Yea,,,Yea,Nay,Nay,,Yea,,Yea,Yea,Nay,Nay,Yea,Yea,Nay,,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,,Nay,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Yea,Yea,,Yea,,Nay,Not Voting,Nay,Yea,Nay,Yea,Not Voting,Yea,Not Voting,,Yea,Nay,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,,Not Voting,Yea,,,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,,,Yea,Nay,,Yea,Not Voting,Yea,Not Voting,Nay,,,Yea,Nay,Nay,,Yea,,Yea,Yea,Nay,Nay,Not Voting,Yea,Nay,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Nay,,Nay,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Nay,Nay,,Nay,,Yea,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,,Nay,Yea,Nay,Yea,Not Voting,Nay,,Yea,Not Voting,Nay,Nay,,Yea,Yea,Nay,,Not Voting,Nay,,,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,,,Nay,Yea,,Nay,Not Voting,Nay,Not Voting,Yea,,,Nay,Yea,Yea,,Nay,,Nay,Nay,Yea,Yea,Nay,Nay,Yea,,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Yea,,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Nay,Nay,,Nay,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,,Yea,Not Voting,Nay,Yea,,Nay,Nay,Nay,,Not Voting,Nay,,,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,,,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,Yea,,,Nay,Nay,Nay,,Nay,,Nay,Nay,Nay,Nay,Nay,Nay,Yea,,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,,Yea,Nay,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Nay,Yea,,Yea,,Nay,Not Voting,Nay,Yea,Nay,Nay,Not Voting,Yea,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,,Not Voting,Yea,,,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Yea,Nay,Yea,,,Yea,Nay,,Nay,Not Voting,Yea,Not Voting,Nay,,,Yea,Nay,Nay,,Yea,,Nay,Yea,Nay,Nay,Yea,Nay,Nay,,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Nay,Yea,,Yea,,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,,Not Voting,Nay,Yea,Nay,Nay,Nay,,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,,Not Voting,Yea,,,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,,,Nay,Nay,,Nay,Nay,Yea,Not Voting,Yea,,,Yea,Nay,Nay,,Yea,,Nay,Not Voting,Nay,Nay,Yea,Yea,Yea,,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Nay,Yea,,Yea,,Nay,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,,Not Voting,Nay,Yea,Nay,Nay,Yea,,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,,Not Voting,Yea,,,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,,,Nay,Nay,,Nay,Nay,Yea,Not Voting,Nay,,,Yea,Nay,Nay,,Yea,,Nay,Not Voting,Nay,Nay,Yea,Yea,Nay,,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Nay,Nay,,Yea,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Nay,Nay,Nay,Nay,Yea,,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,,Not Voting,Yea,,,Not Voting,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,,,Nay,Nay,,Nay,Nay,Nay,Not Voting,Yea,,,Nay,Nay,Nay,,Yea,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Nay,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Nay,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Yea,Yea,,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Nay,Not Voting,Nay,Not Voting,Nay,,Nay,Not Voting,Not Voting,Yea,,Nay,Not Voting,Yea,,Not Voting,Nay,,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,,,Yea,Nay,,Yea,Not Voting,Yea,Not Voting,Yea,,,Yea,Nay,Nay,,Yea,,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Nay,,Nay,Not Voting,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,,Nay,Nay,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Yea,Nay,,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,,Nay,Not Voting,Not Voting,Yea,,Not Voting,Nay,Yea,,Not Voting,Nay,,,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,,,Nay,Nay,,Not Voting,Nay,Yea,Not Voting,Not Voting,,,Yea,Nay,Nay,,Yea,,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,,Nay,Nay,Nay,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Nay,,Nay,Nay,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Yea,Yea,,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,Nay,,Not Voting,Not Voting,Nay,,Not Voting,Yea,,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,,,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,,,Nay,Yea,Yea,,Nay,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,,Yea,Not Voting,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Nay,Yea,,Yea,,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,,Yea,Not Voting,Yea,Nay,Yea,Yea,,Nay,Not Voting,Yea,Yea,,Not Voting,Nay,Yea,,Not Voting,Yea,,,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,,,Yea,Nay,,Nay,Nay,Yea,Not Voting,Nay,,,Nay,Nay,Nay,,Yea,,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Yea,,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Yea,Nay,,Yea,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Nay,,Nay,Not Voting,1917-09-10,0,,unknown,hr4280,,,,unknown
Not Voting,,Yea,Yea,,Nay,,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Nay,,Not Voting,Yea,Yea,,Not Voting,Yea,,,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,,,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,,,Yea,Yea,Yea,,Nay,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,1917-09-10,0,,unknown,hr4280,,,,unknown
Nay,,Not Voting,Nay,,Yea,,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,,,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,,,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,,,Not Voting,Not Voting,Nay,,Yea,,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Yea,,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,,Nay,Not Voting,1917-09-15,0,,unknown,hr5901,,,,unknown
Yea,,Not Voting,Not Voting,,Not Voting,,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Nay,Yea,Yea,,Yea,Not Voting,Not Voting,Not Voting,,Yea,Yea,Not Voting,,Not Voting,Not Voting,,,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Not Voting,,,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,,,Yea,Not Voting,Yea,,Nay,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,,Yea,Yea,1917-09-15,0,,unknown,hr4960,,,,unknown
Yea,,Not Voting,Not Voting,,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,,Yea,Nay,Not Voting,,Not Voting,Yea,,,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Nay,Yea,Not Voting,Yea,,,Nay,Not Voting,,Nay,Not Voting,Yea,Not Voting,Yea,,,Yea,Not Voting,Nay,,Yea,,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,Not Voting,1917-09-25,0,,unknown,hr5949,,,,unknown
Yea,,Yea,Not Voting,,Not Voting,,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,,Not Voting,Yea,Not Voting,,Yea,Nay,,,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Yea,,,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,,,Not Voting,Not Voting,Yea,,Yea,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Not Voting,1917-10-01,0,,unknown,s2776,,,,unknown
Not Voting,,Not Voting,Not Voting,,Not Voting,,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,,Not Voting,Not Voting,Nay,Yea,Not Voting,Yea,,Not Voting,Not Voting,Nay,Not Voting,,Not Voting,Yea,Nay,,Not Voting,Not Voting,,,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,,,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,,,Nay,Not Voting,Yea,,Nay,,Nay,Nay,Yea,Not Voting,Nay,Nay,Yea,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Nay,,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,,Nay,Nay,1917-10-03,0,,unknown,hr5723,,,,unknown
Nay,,Nay,Not Voting,,Not Voting,,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Yea,,Not Voting,Not Voting,Nay,Yea,Yea,Nay,,Nay,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,,Nay,Not Voting,,,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Nay,,,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,,,Nay,Not Voting,Yea,,Yea,,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,,Not Voting,Nay,1917-10-03,0,,unknown,hr5723,,,,unknown
Nay,,Nay,Not Voting,,Not Voting,,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,Not Voting,Nay,Yea,Yea,Yea,,Nay,Not Voting,Yea,Not Voting,,Yea,Yea,Nay,,Nay,Nay,,,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Nay,,,Nay,Not Voting,Yea,,Yea,,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Yea,,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Nay,Nay,1917-10-04,0,,unknown,hr5723,,,,unknown
Yea,,Yea,Not Voting,,Not Voting,,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,,Not Voting,Nay,Yea,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Not Voting,,Nay,Nay,Nay,,Yea,Nay,,,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,,Yea,Not Voting,,Nay,Nay,Yea,Not Voting,Not Voting,,,Yea,Not Voting,Nay,,Nay,,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Yea,,Yea,Nay,1917-10-04,0,,unknown,hr5723,,,,unknown
Yea,,Yea,Yea,,Not Voting,,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,,Not Voting,Nay,Yea,Nay,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,,Nay,Not Voting,Nay,,Not Voting,Yea,,,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,,,Yea,Not Voting,,Nay,Nay,Yea,Not Voting,Not Voting,,,Yea,Not Voting,Nay,,Nay,,Yea,Not Voting,Nay,Nay,Yea,Yea,Nay,,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Nay,,Yea,Nay,1917-10-04,0,,unknown,hr5723,,,,unknown
Nay,,Nay,Not Voting,,Not Voting,,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Not Voting,,Yea,Yea,Nay,Yea,Yea,Nay,,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,Nay,,Nay,Nay,,,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,,,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Not Voting,,,Nay,Not Voting,Yea,,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,,Nay,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Yea,Nay,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,Yea,,Nay,Nay,1917-10-04,0,,unknown,hr5723,,,,unknown
Nay,,Nay,Not Voting,,Not Voting,,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,Yea,Nay,Yea,Yea,Yea,,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,Nay,,Nay,Nay,,,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,,,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,,,Nay,Not Voting,Yea,,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Yea,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,,Nay,Nay,1917-10-04,0,,unknown,hr5723,,,,unknown
Nay,,Nay,Not Voting,,Not Voting,,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Nay,Yea,Yea,,Not Voting,Yea,Nay,Yea,Yea,Yea,,Nay,Not Voting,Nay,Not Voting,,Yea,Not Voting,Nay,,Nay,Nay,,,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,,,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Nay,,,Yea,Not Voting,Yea,,Nay,,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,,Nay,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,,Nay,Yea,1917-10-04,0,,unknown,hr5723,,,,unknown
Nay,,Nay,Not Voting,,Not Voting,,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,,Not Voting,Yea,Nay,Yea,Yea,Not Voting,,Nay,Not Voting,Nay,Not Voting,,Yea,Yea,Nay,,Nay,Nay,,,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Nay,Not Voting,Yea,Yea,,,Yea,Not Voting,,Nay,Yea,Nay,Not Voting,Yea,,,Nay,Not Voting,Yea,,Yea,,Nay,Not Voting,Yea,Yea,Nay,Nay,Yea,,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Nay,Yea,Yea,,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,Yea,,Nay,Nay,1917-10-04,0,,unknown,hr5723,,,,unknown
Yea,,Yea,Not Voting,,Not Voting,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Nay,,Yea,Not Voting,Yea,Not Voting,,Yea,Yea,Yea,,Yea,Yea,,,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,,Yea,Not Voting,,Yea,Yea,Yea,Not Voting,Yea,,,Yea,Not Voting,Yea,,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,Yea,,Yea,Yea,1917-10-04,0,,unknown,hr5723,,,,unknown
